Package,LibPath,Version,Priority,Built
acepack,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.4.1,NA,3.4.0
assertthat,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.0,NA,3.4.0
backports,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.2,NA,3.4.3
base,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.3,base,3.4.3
base64enc,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1-3,NA,3.4.0
BH,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.65.0-1,NA,3.4.1
bindr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1,NA,3.4.0
bindrcpp,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2,NA,3.4.0
bit,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1-12,NA,3.4.0
bitops,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0-6,NA,3.4.0
Boom,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.7,NA,3.4.0
BoomSpikeSlab,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.9.0,NA,3.4.0
boot,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.3-20,recommended,3.4.3
broom,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.4.3,NA,3.4.3
bsts,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.7.1,NA,3.4.0
callr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.0,NA,3.4.0
caret,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,6.0-78,NA,3.4.3
caTools,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.17.1,NA,3.4.0
CausalImpact,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2.3,NA,3.4.1
cellranger,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.0,NA,3.4.0
CHAID,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1-2,NA,3.4.1
checkmate,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.8.5,NA,3.4.2
chron,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.3-52,NA,3.4.3
class,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,7.3-14,recommended,3.4.3
cli,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.0,NA,3.4.2
clipr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.4.0,NA,3.4.2
clisymbols,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2.0,NA,3.4.0
cluster,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.0.6,recommended,3.4.3
codetools,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2-15,recommended,3.4.3
colorspace,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.3-2,NA,3.4.0
compiler,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.3,base,3.4.3
covr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.0.1,NA,3.4.2
crayon,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.3.4,NA,3.4.1
crosstalk,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.0,NA,3.4.0
curl,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.1,NA,3.4.3
CVST,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2-1,NA,3.4.0
data.table,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.10.4-3,NA,3.4.2
datasets,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.3,base,3.4.3
DBI,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.7,NA,3.4.0
dbplyr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2.0,NA,3.4.3
ddalpha,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.3.1,NA,3.4.2
DEoptimR,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0-8,NA,3.4.0
desc,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.1,NA,3.4.1
dichromat,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.0-0,NA,3.4.0
digest,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.6.14,NA,3.4.3
dimRed,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.0,NA,3.4.0
dplyr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.7.4,NA,3.4.2
DRR,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.0.3,NA,3.4.3
DT,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.3,NA,3.4.3
dtplyr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.0.2,NA,3.4.0
dygraphs,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.1.4,NA,3.4.0
e1071,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.6-8,NA,3.4.0
enc,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1,NA,3.4.2
evaluate,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.10.1,NA,3.4.1
fastmatch,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1-0,NA,3.4.0
ff,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.2-13,NA,3.4.0
ffbase,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.12.3,NA,3.4.0
forcats,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.0,NA,3.4.0
foreach,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.4.4,NA,3.4.3
foreign,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.8-69,recommended,3.4.3
Formula,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2-2,NA,3.4.1
fs,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.0,NA,3.4.3
fuzzyjoin,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.3,NA,3.4.1
geosphere,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.5-7,NA,3.4.2
GGally,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.3.2,NA,3.4.1
ggforce,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.1,NA,3.4.0
ggplot2,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.2.1,NA,3.4.0
ggraph,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.1,NA,3.4.3
ggrepel,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.7.0,NA,3.4.2
gh,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.1,NA,3.4.1
git2r,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.21.0,NA,3.4.3
glue,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2.0,NA,3.4.2
gower,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.2,NA,3.4.0
graphics,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.3,base,3.4.3
grDevices,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.3,base,3.4.3
grid,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.3,base,3.4.3
gridExtra,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.3,NA,3.4.1
gtable,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.0,NA,3.4.0
haven,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.1,NA,3.4.3
here,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1,NA,3.4.0
hexbin,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.27.2,NA,3.4.3
highr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.6,NA,3.4.0
Hmisc,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,4.1-1,NA,3.4.3
hms,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.4.1,NA,3.4.3
htmlTable,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.11.2,NA,3.4.3
htmltools,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.3.6,NA,3.4.0
htmlwidgets,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0,NA,3.4.3
httpuv,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.3.5,NA,3.4.1
httr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.3.1,NA,3.4.1
igraph,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.2,NA,3.4.1
ini,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.3.0,NA,3.4.2
inum,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0-0,NA,3.4.3
ipred,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.9-6,NA,3.4.0
irlba,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.3.2,NA,3.4.3
iterators,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.9,NA,3.4.3
jsonlite,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.5,NA,3.4.0
kernlab,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.9-25,NA,3.4.0
KernSmooth,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.23-15,recommended,3.4.3
knitr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.18,NA,3.4.3
labeling,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.3,NA,3.4.0
lattice,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.20-35,recommended,3.4.3
latticeExtra,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.6-28,NA,3.4.0
lava,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.6,NA,3.4.3
lazyeval,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.1,NA,3.4.2
libcoin,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0-1,NA,3.4.3
lubridate,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.7.1,NA,3.4.2
magick,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.6,NA,3.4.3
magrittr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.5,NA,3.4.0
markdown,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.8,NA,3.4.0
MASS,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,7.3-48,recommended,3.4.3
Matrix,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2-12,recommended,3.4.3
MatrixModels,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.4-1,NA,3.4.0
measurements,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.0,NA,3.4.0
methods,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.3,base,3.4.3
mgcv,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.8-23,recommended,3.4.3
mice,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.46.0,NA,3.4.2
mime,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.5,NA,3.4.0
mnormt,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.5-5,NA,3.4.0
ModelMetrics,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.0,NA,3.4.0
modelr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.1,NA,3.4.1
multcomp,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.4-8,NA,3.4.2
munsell,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.4.3,NA,3.4.0
mvtnorm,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0-7,NA,3.4.3
networkD3,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.4,NA,3.4.0
nlme,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.1-131,recommended,3.4.3
nnet,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,7.3-12,recommended,3.4.3
numDeriv,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2016.8-1,NA,3.4.0
openssl,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.9.9,NA,3.4.2
openxlsx,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,4.0.17,NA,3.4.0
parallel,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.3,base,3.4.3
partykit,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2-0,NA,3.4.3
pillar,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.0,NA,3.4.3
pkgconfig,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.0.1,NA,3.4.0
plogr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1-1,NA,3.4.0
plotly,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,4.7.1,NA,3.4.1
plyr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.8.4,NA,3.4.0
polspline,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.12,NA,3.4.0
praise,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.0,NA,3.4.0
prettyunits,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.2,NA,3.4.0
prodlim,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.6.1,NA,3.4.0
progress,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.2,NA,3.4.0
psych,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.7.8,NA,3.4.3
purrr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.4,NA,3.4.2
quantreg,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,5.34,NA,3.4.2
R6,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.2.2,NA,3.4.0
randomForest,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,4.6-12,NA,3.4.0
randomForestExplainer,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.9,NA,3.4.1
RColorBrewer,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1-2,NA,3.4.0
Rcpp,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.12.15,NA,3.4.3
RcppRoll,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.2,NA,3.4.0
RCurl,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.95-4.10,NA,3.4.3
readr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.1,NA,3.4.0
readxl,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.0,NA,3.4.0
recipes,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.2,NA,3.4.3
reinstallr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.4,NA,3.4.0
rematch,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.1,NA,3.4.0
rematch2,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.0.1,NA,3.4.1
reprex,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.2,NA,3.4.3
reshape,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.8.7,NA,3.4.1
reshape2,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.4.3,NA,3.4.3
rex,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.2,NA,3.4.2
rJava,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.9-9,NA,3.4.2
RJDBC,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2-7,NA,3.4.3
RJSONIO,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.3-0,NA,3.4.0
rlang,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.6,NA,3.4.3
rmarkdown,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.8,NA,3.4.2
rms,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,5.1-2,NA,3.4.3
robustbase,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.92-8,NA,3.4.2
RODBC,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.3-15,NA,3.4.0
rpart,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,4.1-12,recommended,3.4.3
rprojroot,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.3-2,NA,3.4.3
RSclient,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.7-3,NA,3.4.0
Rserve,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.7-3,NA,3.4.0
rstudioapi,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.7,NA,3.4.1
rvest,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.3.2,NA,3.4.0
RWeka,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.4-37,NA,3.4.3
RWekajars,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.9.2-1,NA,3.4.3
sandwich,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.4-0,NA,3.4.1
scales,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.5.0,NA,3.4.1
selectr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.3-1,NA,3.4.0
sfsmisc,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1-1,NA,3.4.0
shiny,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.5,NA,3.4.1
sourcetools,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.6,NA,3.4.0
sp,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2-7,NA,3.4.3
SparseM,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.77,NA,3.4.0
spatial,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,7.3-11,recommended,3.4.3
splines,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.3,base,3.4.3
SQUAREM,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2017.10-1,NA,3.4.2
ssh.utils,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0,NA,3.4.0
stats,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.3,base,3.4.3
stats4,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.3,base,3.4.3
stringdist,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.9.4.6,NA,3.4.1
stringi,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.6,NA,3.4.2
stringr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2.0,NA,3.4.0
styler,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.0,NA,3.4.3
survival,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.41-3,recommended,3.4.3
tables,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.8.3,NA,3.4.2
tcltk,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.3,base,3.4.3
testthat,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.0.0,NA,3.4.3
TH.data,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0-8,NA,3.4.0
tibble,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.4.2,NA,3.4.3
tidyr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.7.2,NA,3.4.2
tidyselect,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.3,NA,3.4.2
tidyverse,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2.1,NA,3.4.2
timeDate,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3042.101,NA,3.4.2
tools,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.3,base,3.4.3
tweenr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.5,NA,3.4.0
udunits2,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.13,NA,3.4.0
units,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.5-1,NA,3.4.3
usethis,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2.0,NA,3.4.3
utf8,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.3,NA,3.4.3
utils,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.3,base,3.4.3
viridis,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.4.1,NA,3.4.3
viridisLite,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.0,NA,3.4.0
visreg,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.4-1,NA,3.4.1
WDI,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.4,NA,3.4.0
whisker,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.3-2,NA,3.4.0
withr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.1.1,NA,3.4.3
xml2,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2.0,NA,3.4.3
xtable,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.8-2,NA,3.4.0
xts,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.10-1,NA,3.4.3
yaml,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.1.16,NA,3.4.3
zoo,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.8-1,NA,3.4.3
